Date,Day,Event,Location,Address,County,City,Region,LAT,LON
12/26/2022,Monday,Storm Recovery Update,Kensington Expressway,"Kensington Expressway, Buffalo, NY",Erie,Buffalo,Western New York,42.9203417,-78.8435158
12/26/2022,Monday,Storm Briefing,Buffalo Police Department Headquarters,"68 Court Street, Buffalo, NY",Erie,Buffalo,Western New York,42.8858293,-78.8770882
1/1/2023,Sunday,Inauguration Speech Walkthrough,Empire State Plaza ,"100 S Mall Arterial, Albany, NY 12242",Albany,Albany,Capital Region,42.6517957,-73.7619817
1/1/2023,Sunday,Inauguration Ceremony,Empire State Plaza ,"100 S Mall Arterial, Albany, NY 12242",Albany,Albany,Capital Region,42.6517957,-73.7619817
1/4/2023,Wednesday,Senate Leaders Reception,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
1/6/2023,Friday,46th Annual Three Kings Day Breakfast,El Museo del Barrio,"1230 5th Avenue, New York, NY",New York,New York,New York City,40.7931208,-73.9513351
1/6/2023,Friday,46th Annual Three Kings Day Parade,,"Park Avenue & East 106th Street, New York, NY",New York,New York,New York City,40.7925486,-73.9482082
1/8/2023,Sunday,Buffalo Bills Game,Highmark Stadium,"1 Bills Dr, Orchard Park, NY 14127",Erie,Orchard Park,Western New York,42.7737131,-78.7869032
1/10/2023,Tuesday,State of the State Address,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
1/11/2023,Wednesday,Classroom Visit,Highbridge Advisory Council Family Services,"880 River Avenue, Bronx, NY",Bronx,Bronx,New York City,40.8283851,-73.9254282
1/11/2023,Wednesday,Childcare Announcement,Bronx Children’s Museum,"725 Exterior Street, Bronx, NY",Bronx,Bronx,New York City,40.8160186,-73.9307271
1/11/2023,Wednesday,NYSNA Event,Mount Sinai Hospital,"1468 Madison Avenue, New York, NY",New York,New York,New York City,40.7899134,-73.9524461
1/12/2023,Thursday,Plug Power Ribbon Cutting Ceremony,Plug Power Vista Tech Park,"125 Vista Boulevard, Slingerlands, NY",Albany,Slingerlands,Capital Region,40.713287,-74.012891
1/12/2023,Thursday,New York State Agricultural Society Annual Meeting and Forum,Syracuse OnCenter,"411 Montgomery Street, Syracuse, NY",Onondaga,Syracuse,Central New York,43.0461782,-76.1486104
1/12/2023,Thursday,World University Games Reception,"Roamers Café, Miracle Plaza, Olympic Center","2634 Main St, Lake Placid, NY",Essex,Lake Placid,North Country,44.2836242,-73.9853858
1/12/2023,Thursday,World University Games Opening Ceremony,Olympic Center,"2634 Main St, Lake Placid, NY",Essex,Lake Placid,North Country,44.2836242,-73.9853858
1/14/2023,Saturday,Latino Pastoral Action Center Leadership Meeting,Latino Pastoral Action Center,"14 West 170th Street, Bronx, NY",Bronx,Bronx,New York City,40.8402683,-73.9186628
1/15/2023,Sunday,Church Services,Trinity Lutheran Church,"411 46th Street, Brooklyn, NY",Kings,Brooklyn,New York City,40.6488019,-74.0097314
1/15/2023,Sunday,Church Services,Primitive Christian Church,"209 East Broadway, New York, NY",New York,New York,New York City,40.71422927,-73.987807
1/15/2023,Sunday,Buffalo Bills Game,Kelly's Sports Bar,"12 Avenue A, New York, NY",New York,New York,New York City,40.7225109,-73.9858878
1/15/2023,Sunday,Brooklyn Nets Game,Barclay's Center,"620 Atlantic Avenue, Brooklyn, NY",Kings,Brooklyn,New York City,40.6825106,-73.9752519
1/16/2023,Monday,"Brooklyn Academy of Music Dr. Martin Luther King, Jr. Event",Brooklyn Academy of Music Howard Gilman Opera House,"30 Lafayette Avenue, Brooklyn, NY",Kings,Brooklyn,New York City,40.6864218,-73.9778486
1/16/2023,Monday,"Met Council’s Dr. Martin Luther King, Jr. Day of Service Food Distribution Event",MET Council Manhattan Fulfillment Center,"171 Lexington Avenue, New York, NY",New York,New York,New York City,43.1791607,-77.6339039
1/16/2023,Monday,"National Action Network Dr. Martin Luther King, Jr. Event",House of Justice,"106 West 145th Street, New York, NY",New York,New York,New York City,40.8204921,-73.936579
1/18/2023,Wednesday,China General Chamber of Commerce Lunar New Year of the Rabbit Gala,Cipriani,"110 E 42nd Street, New York, NY",New York,New York,New York City,40.7514708,-73.9772364
1/19/2023,Thursday,East Harlem DRI Announcement,Julia De Burgos Latino Cultural Center,"1680 Lexington Avenue, New York, NY",New York,New York,New York City,40.7919962,-73.9467718
1/20/2023,Friday,General Motors Rochester Plant Announcement,General Motors Rochester Plant,"1000 Lexington Avenue, Rochester, NY",Monroe,Rochester,Finger Lakes,43.1815828,-77.6563837
1/21/2023,Saturday,Western New York Heroes Event,"Campbell Student Union Hall, SUNY Buffalo State","1300 Elmwood Avenue, Buffalo, NY",Erie,Buffalo,Western New York,42.9314154,-78.8779394
1/22/2023,Sunday,Buffalo Bills Game,Highmark Stadium,"1 Bills Dr, Orchard Park, NY 14127",Erie,Orchard Park,Western New York,42.7737131,-78.7869032
1/23/2023,Monday,Western New York DRI Announcement,Clarion Hotel Conference Center on Lake Erie,"30 Lake Shore Drive East, Dunkirk, NY",Chautauqua,Dunkirk,Western New York,42.48822,-79.3330739
1/23/2023,Monday,State of the State Lead Remediation Announcement,Upper Falls Square Apartments,"396 Hudson Avenue, Rochester, NY",Monroe,Rochester,Finger Lakes,43.1710089,-77.6002284
1/24/2023,Tuesday,State of the State Public Safety Announcement,Crime Analysis Center,"165 Henry Johnson Boulevard, Albany, NY",Albany,Albany,Capital Region,42.6628211,-73.7605618
1/24/2023,Tuesday,Planned Parenthood Empire State Acts Day of Action,"The Well, Legislative Office Building","198 State Street, Albany, NY",Albany,Albany,Capital Region,42.650999,-73.75546
1/25/2023,Wednesday,Partnership for New York City Annual Meeting,Rainbow Room,"30 Rockefeller Plaza, New York, NY",New York,New York,New York City,40.7591232,-73.979556
1/25/2023,Wednesday,Grand Central Madison Station Opening,,"144-41 Sutphin Boulevard, Queens, NY",Queens,Queens,New York City,40.6964475,-73.8048727
1/26/2023,Thursday,ZINC8 IPARK87 Announcement,iPark 87,"300 Enterprise Drive, Ulster, NY",Ulster,Ulster,Mid-Hudson,41.9701472,-73.998308
1/26/2023,Thursday,Mayor Eric Adams’ State of the City Address,Queens Theatre,"14 United Nations Avenue S, Queens, NY",Queens,Queens,New York City,40.744252,-73.8444262
1/26/2023,Thursday,"Newswomen’s Club of New York’s 85th Annual Front-Page Awards
Ceremony",New York Athletic Club,"180 Central Park South, New York, NY",New York,New York,New York City,40.7663613,-73.9790106
1/27/2023,Friday,Subway Safety Announcement,Fulton Transit Center,"200 Broadway, New York, NY",New York,New York,New York City,40.7104439,-74.0089465
1/28/2023,Saturday,Representative Adriano Espaillat’s State of the District,The Forum at Columbia University,"601 West 125th Street, New York, NY",New York,New York,New York City,40.8161913,-73.958384
1/28/2023,Saturday,Minority Leader Hakeem Jeffries’ Inauguration,Brooklyn Technical High School,"29 Fort Greene Place, Brooklyn, NY",Kings,Brooklyn,New York City,40.6894175,-73.9765534
1/30/2023,Monday,United Federation of Teachers 2023 Legislative Reception,"Observation Deck, Corning Towers, Empire State Plaza ","100 S Mall Arterial, Albany, NY 12242",Albany,Albany,Capital Region,42.6517957,-73.7619817
1/30/2023,Monday,"American Council of Engineering Companies of New York Annual Winter
Conference",Albany Capital Center ,"55 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.650131,-73.7564044
1/31/2023,Tuesday,Hudson Tunnel Event,LIRR West Side Train Yard,"300 12th Avenue, New York, NY",New York,New York,New York City,40.7550526,-74.0056465
2/1/2023,Wednesday,Executive Budget Address,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
2/2/2023,Thursday,Mental Health Budget Roadshow Event,"Robbins Auditorium, Albert Einstein School of Medicine","1825 Sackett Avenue, Bronx, NY",Bronx,Bronx,New York City,43.171606,-77.749279
2/2/2023,Thursday,New York Building Congress Annual Luncheon,,"583 Park Avenue, New York, NY",New York,New York,New York City,40.6976611,-73.9519178
2/3/2023,Friday,Syracuse Budget Roadshow Event,Marriott Syracuse Downtown,"100 East Onondaga Street, Syracuse, NY",Onondaga,Syracuse,Central New York,43.0446795,-76.1510179
2/3/2023,Friday,Resurgent Neighborhood Initiative Homes Tour,Resurgent Neighborhood Initiative (RNI) Homes,"124 Woodland Avenue, Syracuse, NY",Onondaga,Syracuse,Central New York,43.0296633,-76.1447746
2/3/2023,Friday,Wilson Park Community Center Visit,Wilson Park Community Center,"124 Woodland Avenue, Syracuse, NY",Onondaga,Syracuse,Central New York,43.0296633,-76.1447746
2/3/2023,Friday,New York Conference of Mayors Reception,Executive Mansion,"138 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.6467004,-73.7608686
2/3/2023,Friday,Business Council Annual Legislators Reception,Albany Capital Center ,"55 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.650131,-73.7564044
2/3/2023,Friday,New York State United Teachers Legislative Reception,New York State Museum,"222 Madison Avenue, Albany, NY",Albany,Albany,Capital Region,42.648625,-73.7619066
2/4/2023,Saturday,New York State Public Employee Conference Breakfast,The Egg,"Agency Building 1, S Mall Arterial, Albany, NY 12203",Albany,Albany,Capital Region,42.634673,-73.798645
2/4/2023,Saturday,Photo Opportunity with the New York Future Farmers of America Student Leaders,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
2/12/2023,Sunday,Chinatown Lunar New Year Parade,,"Mott Street, New York, NY",New York,New York,New York City,40.7137019,-73.9986666
2/13/2023,Monday,Rochester Budget Roadshow,The Theater at Innovation Square,"131 Chestnut Street, Rochester, NY",Monroe,Rochester,Finger Lakes,43.154856,-77.6033097
2/13/2023,Monday,Frederick Douglass Statue Unveiling,Greater Rochester International Airport,"1200 Brooks Avenue, Rochester, NY 14624",Monroe,Rochester,Finger Lakes,43.1285584,-77.6626866
2/14/2023,Tuesday,Breakfast with New Assemblymembers,Executive Mansion,"138 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.6467004,-73.7608686
2/14/2023,Tuesday,Visit Krause’s Homemade Candy,,"1609 Central Avenue, Albany, NY",Albany,Albany,Capital Region,42.7180961,-73.8328264
2/15/2023,Wednesday,Michael Kors Fall/Winter 2023 Runway Show,,"460 West 15th Street, New York, NY",New York,New York,New York City,40.7423788,-74.0076256
2/15/2023,Wednesday,Garment District NY Forward Announcement,Fashion Institute of Technology,"227 West 27th Street, New York, NY",New York,New York,New York City,40.7469087,-73.9942748
2/15/2023,Wednesday,New York Times Opinion Valentine’s Day Party,New York Times Headquarters,"620 8th Avenue, New York, NY",New York,New York,New York City,40.7558946,-73.9896743
2/16/2023,Thursday,Chinese American Planning Council’s 58th Annual Lunar New Year Benefit,House of Joy,"28 Pell Street, New York, NY",New York,New York,New York City,40.7149659,-73.9984077
2/16/2023,Thursday,91st Annual Citizens Budget Commission Gala,Cipriani Wall Street,"55 Wall Street, New York, NY",New York,New York,New York City,40.7059031,-74.0093449
2/17/2023,Friday,Chairwoman’s Caucus Weekend Welcome Reception,Albany Capital Center ,"55 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.650131,-73.7564044
2/18/2023,Saturday,The Black Institute Green Carpet Pre-Canna Ball Reception,Hilton Albany,"40 Lodge Street, Albany, NY",Albany,Albany,Capital Region,42.6507442,-73.7531445
2/19/2023,Sunday,Church Service,Albany Capital Center ,"55 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.650131,-73.7564044
2/19/2023,Sunday,"2023 New York State Association of Black, Puerto Rican, Hispanic & Asian Legislators Caucus Scholarship Gala",Empire State Convention Center,"279 Madison Avenue, Albany, NY",Albany,Albany,Capital Region,42.648995,-73.7614185
2/21/2023,Tuesday,Hudson Valley Housing Roundtable,Pace University Elisabeth Haub School of Law,"78 North Broadway, White Plains, NY",Westchester,White Plains,Mid-Hudson,41.0395768,-73.7666945
2/21/2023,Tuesday,Hudson Valley Budget Roadshow,Pace University Elisabeth Haub School of Law,"78 North Broadway, White Plains, NY",Westchester,White Plains,Mid-Hudson,41.0395768,-73.7666945
2/22/2023,Wednesday,Binghamton Budget Roadshow Event,Schorr Firehouse Theatre,"46 Willow Street, Johnson City, NY",Broome,Johnson City,Southern Tier,42.1133963,-75.9550445
2/22/2023,Wednesday,Visit Just Breathe Dispensary,,"75 Court Street, Binghamton, NY",Broome,Binghampton,Southern Tier,42.098908,-75.9118111
2/23/2023,Thursday,John F. Kennedy International Airport Terminal 6 Groundbreaking,John F. Kennedy International Airport ," S Service Rd,
Jamaica, NY 11430",Queens,Queens,New York City,40.655246,-73.797769
2/23/2023,Thursday,Lunar New Year Celebration,Flushing Town Hall,"137-35 Northern Boulevard, Queens, NY",Queens,Queens,New York City,40.763914,-73.830071
2/24/2023,Friday,I Love New York Black Travel Initiative Announcement,"Ailey Studios, Joan Weill Center for Dance","405 West 55th Street, New York, NY",New York,New York,New York City,40.7669468,-73.9869292
2/24/2023,Friday,Church Services,St. George Ukrainian Catholic Church,"30 East 7th Street, New York, NY",New York,New York,New York City,43.4615898,-76.5028941
2/24/2023,Friday,Ukrainian Institute of America “Stand with Ukraine” Event,Ukrainian Institute of America,"2 East 79th Street, New York, NY",New York,New York,New York City,40.7767036,-73.9635178
2/25/2023,Saturday,Leopoldstadt on Broadway,Longacre Theatre,"220 West 48th Street, New York, NY",New York,New York,New York City,40.7603178,-73.9859687
2/25/2023,Saturday,9/11 Memorial & Museum 30th Anniversary of First World Trade Center Attack Ceremony,World Trade Memorial North Pool,"180 Greenwich Street, New York, NY",New York,New York,New York City,40.7114527,-74.0126703
2/25/2023,Saturday,Grand Central Madison Opening Event,Grand Central Madison,"89 E 42nd St, New York, NY 10017",New York,New York,New York City,40.7526943,-73.977253
2/27/2023,Monday,Buffalo Housing Roundtable,University of Buffalo-North Campus,"125 Service Center Road, Buffalo, NY",Erie,Buffalo,Western New York,42.9920928,-78.7931123
2/27/2023,Monday,Buffalo Budget Roadshow,University of Buffalo-North Campus,"125 Service Center Road, Buffalo, NY",Erie,Buffalo,Western New York,42.9920928,-78.7931123
2/28/2023,Tuesday,4th Annual Gun Violence Prevention Forum,,"117 West 46th Street, New York, NY",New York,New York,New York City,40.757927,-73.983247
3/1/2023,Wednesday,Tour Albany Barn,,"56 2nd Street, Albany, NY",Albany,Albany,Capital Region,42.7080574,-73.7079476
3/1/2023,Wednesday,Albany Housing Event,,"56 2nd Street, Albany, NY",Albany,Albany,Capital Region,42.7080574,-73.7079476
3/2/2023,Thursday,Walking Tour of Patchogue,Patchogue Theatre for Performing Arts,"71 East Main Street, Patchogue, NY",Suffolk,Patchogue,Long Island,40.7658163,-73.0125705
3/2/2023,Thursday,Long Island Housing Event,Patchogue Family YMCA,"255 West Main Street, Patchogue, NY",Suffolk,Patchogue,Long Island,40.766481,-73.0229548
3/3/2023,Friday,Cohoes DRI Announcement,Cohoes Music Hall,"58 Remsen Street, Cohoes, NY",Albany,Cohoes,Capital Region,42.7756936,-73.7016772
3/7/2023,Tuesday,Rochester Public Safety Meeting,Boys & Girls Clubs of Rochester,"500 Genesee Street, Rochester, NY",Monroe,Rochester,Finger Lakes,43.1404699,-77.6350309
3/7/2023,Tuesday,Rochester Public Safety Event,Boys & Girls Clubs of Rochester,"500 Genesee Street, Rochester, NY",Monroe,Rochester,Finger Lakes,43.1404699,-77.6350309
3/7/2023,Tuesday,Visit Susan B. Anthony House and Museum,Susan B. Anthony House and Museum,"17 Madison Street, Rochester, NY",Monroe,Rochester,Finger Lakes,43.1532425,-77.6280045
3/7/2023,Tuesday,Visit Strong Memorial Hospital,Strong Memorial Hospital,"601 Elmwood Avenue, Rochester, NY",Monroe,Rochester,Finger Lakes,43.1229299,-77.6253832
3/7/2023,Tuesday,Women’s History Month Reception,Executive Mansion,"138 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.6467004,-73.7608686
3/8/2023,Wednesday,"Welcome Reception and Dinner for Wall Street Journal Editor-in-Chief
Emma Tucker",The Modern,"9 West 53rd Street, New York, NY",New York,New York,New York City,40.7610807,-73.9770877
3/10/2023,Friday,SOMOS Community Care Mental Health Event,,"3332 Broadway, New York, NY",New York,New York,New York City,42.9038875,-78.7522388
3/10/2023,Friday,SOMOS Reception,Executive Mansion,"138 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.6467004,-73.7608686
3/13/2023,Monday,Signature Bank Press Conference,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
3/13/2023,Monday,Storm Briefing,DOT Garage,"695 Watervliet Shaker Road, Latham, NY",Albany,Latham,Capital Region,42.7386544,-73.7812239
3/13/2023,Monday,Tech:NYC Briefing,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
3/15/2023,Wednesday,Westchester Housing Roundtable,The Business Council of Westchester,"800 Westchester Ave S-310, Rye Brook, NY",Westchester,Rye Brook,Mid-Hudson,41.008405,-73.693543
3/15/2023,Wednesday,Westchester Housing Event,The Business Council of Westchester,"800 Westchester Ave S-310, Rye Brook, NY",Westchester,Rye Brook,Mid-Hudson,41.008405,-73.693543
3/15/2023,Wednesday,Metropolitan Museum of Art Women’s History Month Reception,"The Great Hall, Metropolitan Museum of Art","5th Avenue & 83rd Street, New York, NY",New York,New York,New York City,40.623823,-74.024864
3/15/2023,Wednesday,St. Patrick’s Day Foundation Gala,The Sheraton Hotel,"811 7th Avenue & West 53rd Street, New York, NY",New York,New York,New York City,40.762654,-73.982093
3/16/2023,Thursday,2023 James Connolly Irish American Labor Coalition St. Patrick’s Day,Manhattan Manor,"201 West 52nd Street, New York, NY",New York,New York,New York City,40.7625496,-73.9825875
3/16/2023,Thursday,Youth Mental Health Listening Sessions Kickoff Event,Herbert Pardes Building,"1051 Riverside Drive, New York, NY",New York,New York,New York City,40.8424727,-73.9446016
3/16/2023,Thursday,“Parade” on Broadway, Bernard B. Jacobs Theatre,"242 West 45th Street, New York, NY",New York,New York,New York City,40.7586082,-73.9877405
3/17/2023,Friday,Transportation Event with Secretary Buttiegieg,Buffalo Museum of Sciences,"1020 Humboldt Parkway, Buffalo, NY",Erie,Buffalo,Western New York,42.9079817,-78.8430212
3/17/2023,Friday,New York City St. Patrick’s Day Parade,,"East 44th Street & 5th Avenue, New York, NY",New York,New York,New York City,40.7541463,-73.978441
3/17/2023,Friday,Cardinal Dolan’s St. Patrick’s Day Luncheon,,"452 Madison Avenue, New York, NY",New York,New York,New York City,42.6526693,-73.7685771
3/19/2023,Sunday,Buffalo St. Patrick’s Day Parade,,"McKinley Monument & North on Delaware Avenue
Buffalo, NY",Erie,Buffalo,Western New York,42.804529,-78.810467
3/20/2023,Monday,We Love NYC Roll Out Campaign,Times Square,"46th Street and 7th Avenue, New York, NY",New York,New York,New York City,40.802533,-73.953026
3/20/2023,Monday,St. Joseph’s Day Reception,Columbus Citizens Foundation,"8 East 69th Street, New York, NY",New York,New York,New York City,40.7700079,-73.9677919
3/20/2023,Monday,St. Patrick’s Day Reception,Executive Mansion,"138 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.6467004,-73.7608686
3/21/2023,Tuesday,Building Congress Meeting,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
3/24/2023,Friday,"New York State Department of Civil Service Women’s History Month
Celebration","Huxley Theater, New York State Museum","222 Madison Avenue, Albany, NY",Albany,Albany,Capital Region,42.648625,-73.7619066
3/24/2023,Friday,Retirement Celebration for Teamsters Local 294 President John Bulgaro,"Crowne Plaza Albany, The Desmond Hotel","660 Albany-Shaker Road, Albany, NY",Albany,Albany,Capital Region,42.7283095,-73.7986233
3/27/2023,Monday,State University of New York Women’s History Month Reception,SUNY Chancellor’s Residence,"423 State Street, Albany, NY",Albany,Albany,Capital Region,42.6576729,-73.7668978
3/28/2023,Tuesday,Wake Services for Toni Ann Seddio,Guarino Funeral Home,"9222 Flatlands Avenue, Brooklyn, NY",Kings,Brooklyn,New York City,40.6412066,-73.9042972
3/29/2023,Wednesday,Virtual Broadband Funding Press Conference,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
3/29/2023,Wednesday,Buffalo Bills Athletic Training Staff Photo Opportunity,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
4/8/2023,Saturday,Easter Egg Roll,Executive Mansion,"138 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.6467004,-73.7608686
4/12/2023,Wednesday,National Action Network’s Keeper of the Dream Gala,"Metropolitan Ballroom, Sheraton New York Times Square Hotel","811 7th Avenue, New York, NY",New York,New York,New York City,40.7627309,-73.9816563
4/13/2023,Thursday,Castleton Bridge Award Announcement Event,"Castleton Bridge, New York State Thruway Berkshire Connector","New York State Thruway Berkshire Connector, Selkirk, NY",Oswego,Selkirk,Central New York,42.473602,-73.796587
4/14/2023,Friday,Press Conference on Abortion Access,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
4/17/2023,Monday,Regional Economic Development Council Leadership Summit,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
4/17/2023,Monday,Lunch with Regional Economic Development Co-Chairs,Executive Mansion,"138 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.6467004,-73.7608686
4/17/2023,Monday,Iftar Reception,Empire State Convention Center,"279 Madison Avenue, Albany, NY",Albany,Albany,Capital Region,42.648995,-73.7614185
4/18/2023,Tuesday,Meet & Greet Hobart Men’s Ice Hockey Team,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
4/18/2023,Tuesday,New York State IGA Briefing Session,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
4/19/2023,Wednesday,Empire State Development / State University of New York Semiconductor K12 Summit,"Albany Nanotech Complex, NFS Auditorium","257 Fuller Road, Albany, NY",Albany,Albany,Capital Region,42.6920869,-73.8318436
4/19/2023,Wednesday,Wake for New York State Police Investigator Patrick Hogan,Sacred Heart Church,"475 Pawling Avenue, Troy, NY",Rensselaer,Troy,Capital Region,42.7080285,-73.662358
4/22/2023,Saturday,Earth Day Event,Five Rivers Environmental Education Center,"55 Game Farm Road, Delmar, NY",Albany,Delmar,Capital Region,42.608434,-73.892762
4/24/2023,Monday,Google VC Platform Global Summit,"Google NYC, Pier 57","25 11th Avenue, New York, NY",New York,New York,New York City,40.841329,-73.4247165
4/24/2023,Monday,Birthday Party for Cindy Adams,10 Cubed Club,"217 West 57th Street, New York, NY",New York,New York,New York City,40.765925,-73.9807684
4/25/2023,Tuesday,Society of Foreign Consuls Reception,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
4/26/2023,Wednesday,Staten Island Economic Development Corporation Business Conference Breakfast,The Hilton Garden Inn,"110 South Avenue, Staten Island, NY",Richmond,Staten Island,New York City,40.6372941,-74.1664622
4/26/2023,Wednesday,Greet 4th Grader Field Trip Visitors,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
4/28/2023,Friday,Micron Community Engagement Committee Announcement,The Oncenter Nicholas J. Pirro Convention Center,"800 South State Street, Syracuse, NY",Onondaga,Syracuse,Central New York,43.0435261,-76.1482305
5/1/2023,Monday,127th Annual New York State Council of Machinists Conference ,Seneca Niagara Casino & Hotel,"310 4th Street, Niagara Falls, NY",Niagara,Niagara Falls,Western New York,43.0855629,-79.0578501
5/2/2023,Tuesday,Reproductive Rights Bill Signing,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
5/2/2023,Tuesday,David Rockefeller Fellow Reception,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
5/3/2023,Wednesday,Public Safety Event,YM&YWHA of Washington Heights & Inwood ,"54 Nagle Avenue, New York, NY",New York,New York,New York City,40.8602278,-73.9295833
5/4/2023,Thursday,Affordable Families Rally,Hotel & Gaming Trades Council Building ,"305 West 44th Street, New York, NY",New York,New York,New York City,40.7586905,-73.9889606
5/5/2023,Friday,Regional Plan Association Assembly ,Pier 60,"60 Chelsea Piers, New York, NY",New York,New York,New York City,40.74680744,-74.01003555
5/5/2023,Friday,Cinco de Mayo Reception,General Consulate of Mexico Residency,"214 East 72nd Street, New York, NY",New York,New York,New York City,40.7692346,-73.9599852
5/6/2023,Saturday,USS Cooperstown Commissioning,"Pier 88, Manhattan Cruise Terminal","35 Hudson River Greenway, New York, NY",New York,New York,New York City,40.7470665,-74.0081198
5/8/2023,Monday,Mental Health Event,Delavan Grider Community Center,"877 East Delavan Avenue, Buffalo, NY",Erie,Buffalo,Western New York,42.9221767,-78.8241674
5/8/2023,Monday,Budget Appreciation Reception,Executive Mansion,"138 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.6467004,-73.7608686
5/8/2023,Monday,Photo Opportunity with the National Association of Women Judges,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
5/8/2023,Monday,New York League of Conservation Voters Annual Gala ,Pier 60,"60 Chelsea Piers, New York, NY",New York,New York,New York City,43.072162,-77.541484
5/9/2023,Tuesday,Police Officers Remembrance Memorial Ceremony,Empire State Plaza ,"100 S Mall Arterial, Albany, NY 12242",Albany,Albany,Capital Region,42.6517957,-73.7619817
5/9/2023,Tuesday,Public Education Event,Dutch Broadway School,"1880 Dutch Broadway, Elmont, NY",Nassau,Elmont,Long Island,40.6914751,-73.7105334
5/10/2023,Wednesday,New York State Unity Summit,John Jay College of Criminal Justice,"860 11th Avenue, New York, NY",New York,New York,New York City,40.7710875,-73.9905939
5/10/2023,Wednesday,Greet President Biden,Westchester County Airport Gate 9 ,"55 New King Street, West Harrison, NY",Westchester,Harrison,Mid-Hudson,41.068817,-73.7155764
5/10/2023,Wednesday,President Biden Event,Westchester Community College,"75 Grasslands Road, Valhalla, NY",Westchester,Valhalla,Mid-Hudson,41.0669586,-73.7891276
5/11/2023,Thursday,Mount Vernon Water Infrastructure Announcement,Doles Recreation Center,"250 South 6th Avenue, Mount Vernon, NY",Westchester,Mount Vernon,Mid-Hudson,40.9045163,-73.8368373
5/14/2023,Sunday,Buffalo Shooting Moment of Remembrance,TOPS Friendly Markets,"1275 Jefferson Avenue, Buffalo, NY",Erie,Buffalo,Western New York,42.9098527,-78.8526222
5/14/2023,Sunday,Memorial Service for Healing and Hope,Elim Christian Fellowship Church,"70 Chalmers Avenue, Buffalo, NY",Erie,Buffalo,Western New York,42.9382188,-78.8360885
5/15/2023,Monday,Health Care Bill Signing Event,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
5/16/2023,Tuesday,Asian American and Pacific Islander Heritage Month Reception,Executive Mansion,"138 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.6467004,-73.7608686
5/18/2023,Thursday,PRNOW: New York Forum 2023,Cipriani Wall Street,"55 Wall Street, New York, NY",New York,New York,New York City,40.7059031,-74.0093449
5/18/2023,Thursday,Upstate Business Development Luncheon at PGA Championship,Oak Hill County Club,"145 Kilbourn Road, Rochester, NY",Monroe,Rochester,Finger Lakes,43.1130973,-77.5326063
5/18/2023,Thursday,Visit Taste NY Tent,Oak Hill County Club,"145 Kilbourn Road, Rochester, NY",Monroe,Rochester,Finger Lakes,43.1130973,-77.5326063
